m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minSwapSolvercmax,openSwapSolvercmax,meanSwapSolvercmax,closedSwapSolvercmax,maxSwapSolvercmax,minDistributedSwapSolvercmax,openDistributedSwapSolvercmax,meanDistributedSwapSolvercmax,closedDistributedSwapSolvercmax,maxDistributedSwapSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
2,10,138.0,162.0,193.0,226.0,287.0,138.0,162.0,195.0,226.0,287.0,135.0,160.0,186.0,204.0,253.0,138.0,162.0,193.0,226.0,287.0,155.0,182.0,226.0,250.0,294.0,427405.0,599011.0,1047391.0,1976677.0,9689146.0,1939688.0,2.2550666E7,2.6563442E7,2.9339445E7,3.4078656E7,1074019.0,1791274.0,2626323.0,3103643.0,7982092.0,1467323.0,2.451553E7,2.5996598E7,3.1960856E7,5.6782933E7,63499.0,130061.0,141467.0,389606.0,5418129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,1.0,2.9,0.0,1.0,1.9,0.05,0.95,0.0,0.0,2.75,0.75,0.8,1.95,0.0,0.5,0.25,0.0
4,20,91.0,111.0,135.0,158.0,205.0,91.0,110.0,135.0,158.0,205.0,87.0,110.0,125.0,147.0,167.0,91.0,112.0,132.0,158.0,205.0,93.0,132.0,143.0,163.0,205.0,629921.0,714710.0,1162937.0,1899210.0,5691779.0,1352502.0,2090112.0,2.3982336E7,2.6008876E7,3.9937825E7,2043892.0,3937840.0,4818755.0,6305816.0,9158044.0,1180906.0,2562247.0,1.9962004E7,2.7921615E7,8.1958669E7,81702.0,124961.0,179608.0,224713.0,592840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,4.0,2.0,6.45,0.0,2.0,4.35,0.0,2.1,0.0,0.0,6.15,0.4,1.8,4.35,0.05,1.5,0.25,0.0
6,30,78.0,90.0,97.0,115.0,131.0,78.0,92.0,97.0,114.0,130.0,78.0,85.0,94.0,101.0,114.0,78.0,90.0,95.0,112.0,149.0,89.0,102.0,112.0,126.0,149.0,1009076.0,2332493.0,3136277.0,3839078.0,4173205.0,1977747.0,3372139.0,2.7050291E7,3.1085737E7,3.336593E7,5586382.0,7903111.0,1.1181481E7,1.4790413E7,2.2003891E7,2033262.0,2.4732949E7,2.5824963E7,2.8146673E7,5.5813446E7,173191.0,235369.0,453314.0,506274.0,1761750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,9.5,3.5,12.55,0.0,4.8,7.75,0.15,4.6,0.0,0.0,11.4,1.7,4.1,7.25,0.1,2.95,0.95,0.0
8,40,68.0,72.0,83.0,90.0,111.0,66.0,72.0,81.0,92.0,111.0,61.0,70.0,75.0,82.0,106.0,66.0,71.0,82.0,92.0,111.0,75.0,85.0,94.0,111.0,120.0,1893091.0,4200553.0,5122279.0,6792849.0,1.1951443E7,1849950.0,3445871.0,2.6071528E7,2.9363718E7,3.1159913E7,1.0420681E7,1.5265176E7,1.83943E7,2.5560452E7,2.7957786E7,3234660.0,2.4859819E7,2.655722E7,3.1510029E7,5.6972209E7,240539.0,542525.0,710910.0,772935.0,1210177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,16.4,4.7,18.85,0.0,7.55,11.25,0.1,7.4,0.0,0.0,18.4,2.65,8.6,9.8,0.45,6.45,1.65,0.0
10,50,55.0,62.0,68.0,75.0,82.0,53.0,67.0,70.0,75.0,97.0,46.0,62.0,66.0,75.0,76.0,53.0,65.0,71.0,74.0,81.0,58.0,74.0,84.0,93.0,109.0,3541400.0,5157212.0,6887818.0,8352169.0,1.3039135E7,2159943.0,2.4937969E7,3.000746E7,3.2368284E7,5.4090468E7,1.4937192E7,2.6986992E7,3.6151298E7,4.3288155E7,5.6308185E7,2420019.0,5048221.0,2.5357056E7,2.761691E7,5.1411066E7,382911.0,569842.0,661252.0,1135169.0,1684865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,20.9,4.4,24.85,0.0,10.2,14.65,0.4,9.8,0.0,0.0,25.05,2.1,10.65,14.4,0.35,8.55,1.75,0.0
12,60,35.0,54.0,56.0,61.0,74.0,33.0,56.0,59.0,64.0,74.0,35.0,51.0,56.0,59.0,63.0,34.0,55.0,60.0,65.0,74.0,46.0,66.0,69.0,77.0,86.0,5620726.0,7274205.0,9649114.0,1.0923146E7,1.2994521E7,5563902.0,3.0248178E7,3.466918E7,4.0930742E7,5.0314749E7,2.7184961E7,3.8749616E7,4.6044485E7,6.0514607E7,7.3241122E7,5337865.0,2.8796497E7,3.2907163E7,3.5417935E7,5.8919665E7,624762.0,873059.0,995196.0,1204692.0,1962761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,23.2,4.8,30.45,0.0,11.35,19.1,0.5,10.85,0.0,0.0,31.3,2.1,13.25,18.0,0.65,11.05,1.55,0.0
14,70,43.0,50.0,53.0,56.0,76.0,40.0,52.0,54.0,56.0,76.0,43.0,47.0,52.0,54.0,58.0,43.0,50.0,54.0,57.0,58.0,51.0,59.0,66.0,72.0,99.0,6850456.0,9151570.0,1.2306548E7,1.4219739E7,2.6682864E7,6103247.0,2.7262987E7,3.2381046E7,3.4257517E7,5.9369611E7,3.006454E7,5.3754122E7,6.7116118E7,8.6238662E7,1.43462632E8,7435149.0,3.1003318E7,3.5715037E7,3.7417719E7,6.9894148E7,822450.0,973794.0,1176481.0,1635899.0,2013968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,29.45,5.65,37.3,0.0,16.65,20.65,0.45,16.2,0.0,0.0,37.3,2.85,18.1,19.2,0.65,15.2,2.25,0.0
16,80,35.0,43.0,46.0,50.0,52.0,33.0,42.0,45.0,50.0,58.0,34.0,41.0,43.0,46.0,50.0,36.0,42.0,46.0,51.0,56.0,40.0,46.0,53.0,61.0,72.0,7053946.0,1.3272119E7,1.4428076E7,1.8277696E7,2.2755671E7,5108172.0,2.6582617E7,3.4141867E7,3.8408402E7,6.0756533E7,5.5772836E7,8.1659233E7,9.7340794E7,1.0435199E8,1.64918682E8,1.2014895E7,3.2877696E7,3.592995E7,4.0957255E7,6.7864339E7,900767.0,1186789.0,1310946.0,1365874.0,1610210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,29.95,4.75,40.8,0.0,17.8,23.0,0.55,17.25,0.0,0.0,41.15,2.05,18.0,23.15,0.75,15.75,1.45,0.0
18,90,33.0,39.0,42.0,47.0,61.0,34.0,39.0,42.0,47.0,61.0,31.0,38.0,41.0,43.0,51.0,34.0,39.0,42.0,47.0,61.0,40.0,49.0,50.0,60.0,76.0,9730006.0,1.8020489E7,1.9886987E7,2.3487367E7,2.9801796E7,3086803.0,3.0794189E7,3.6066246E7,4.15146E7,6.290423E7,7.8694749E7,1.13078097E8,1.39011968E8,1.72877093E8,2.17739427E8,1.0622851E7,3.2499228E7,3.9760518E7,4.4949778E7,4.9285807E7,1313636.0,1395644.0,1536371.0,1681996.0,1967871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,36.85,4.75,45.6,0.0,18.6,27.0,0.8,17.8,0.0,0.0,48.6,3.0,21.65,26.95,0.6,18.65,2.4,0.0
20,100,33.0,38.0,41.0,42.0,48.0,36.0,39.0,41.0,43.0,46.0,33.0,36.0,38.0,40.0,42.0,33.0,38.0,41.0,42.0,45.0,41.0,45.0,47.0,49.0,68.0,1.5177578E7,2.5422716E7,2.7090308E7,3.1146108E7,4.7040684E7,1.0174619E7,3.5583035E7,3.9549041E7,4.3928334E7,5.300429E7,1.17688926E8,1.62845558E8,1.87153191E8,1.96424212E8,2.32496288E8,1.693781E7,3.9049468E7,4.564178E7,6.0732764E7,8.2442144E7,1548388.0,1661646.0,1758871.0,1913782.0,2425118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,40.2,5.7,51.0,0.0,21.8,29.2,0.9,20.9,0.0,0.0,51.3,2.05,21.3,30.0,0.8,19.0,1.5,0.0
